HostID,host_url,host_name,host_since,Host_City,host_Neighbourhood,Host_State,Host_Country,superhost,host_thumbnail_url,host_picture_url,host_total_listings_count,host_has_profile_pic,host_identity_verified,host_response_timeID
956883,https://www.airbnb.com/users/show/956883,Maija,8/11/2011,Seattle,Queen Anne,Washington,United States,f,"https://a0.muscache.com/ac/users/956883/profile_pic/1318103129/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70","https://a0.muscache.com/ac/users/956883/profile_pic/1318103129/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=225:*&output-format=jpg&output-quality=70",3,t,t,HRT_001
5177328,https://www.airbnb.com/users/show/5177328,Andrea,2/21/2013,Seattle,Queen Anne,Washington,United States,t,"https://a0.muscache.com/ac/users/5177328/profile_pic/1361540767/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70","https://a0.muscache.com/ac/users/5177328/profile_pic/1361540767/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=225:*&output-format=jpg&output-quality=70",6,t,t,HRT_002
16708587,https://www.airbnb.com/users/show/16708587,Jill,6/12/2014,Seattle,Queen Anne,Washington,United States,f,"https://a1.muscache.com/ac/users/16708587/profile_pic/1428941043/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70","https://a1.muscache.com/ac/users/16708587/profile_pic/1428941043/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=225:*&output-format=jpg&output-quality=70",2,t,t,HRT_001
9851441,https://www.airbnb.com/users/show/9851441,Emily,11/6/2013,Seattle,Queen Anne,Washington,United States,f,"https://a2.muscache.com/ac/users/9851441/profile_pic/1414045273/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70","https://a2.muscache.com/ac/users/9851441/profile_pic/1414045273/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=225:*&output-format=jpg&output-quality=70",1,t,t,HRT_005
1452570,https://www.airbnb.com/users/show/1452570,Emily,11/29/2011,Seattle,Queen Anne,Washington,United States,f,"https://a0.muscache.com/ac/users/1452570/profile_pic/1322552171/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70","https://a0.muscache.com/ac/users/1452570/profile_pic/1322552171/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=225:*&output-format=jpg&output-quality=70",2,t,t,HRT_002
326758,https://www.airbnb.com/users/show/326758,Andrew,12/25/2010,Seattle,Queen Anne,Washington,United States,f,"https://a2.muscache.com/ac/users/326758/profile_pic/1433658977/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70","https://a2.muscache.com/ac/users/326758/profile_pic/1433658977/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=225:*&output-format=jpg&output-quality=70",1,t,t,HRT_005
2497928,https://www.airbnb.com/users/show/2497928,Gary And Beth,5/30/2012,Seattle,Queen Anne,Washington,United States,t,"https://a0.muscache.com/ac/users/2497928/profile_pic/1384021985/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70","https://a0.muscache.com/ac/users/2497928/profile_pic/1384021985/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=225:*&output-format=jpg&output-quality=70",1,t,t,HRT_002
4016632,https://www.airbnb.com/users/show/4016632,Jean-Marc,10/30/2012,Seattle,Queen Anne,Washington,United States,t,"https://a1.muscache.com/ac/users/4016632/profile_pic/1384724659/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70","https://a1.muscache.com/ac/users/4016632/profile_pic/1384724659/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=225:*&output-format=jpg&output-quality=70",5,t,t,HRT_002
2166277,https://www.airbnb.com/users/show/2166277,Aliza,4/18/2012,Seattle,Queen Anne,Washington,United States,f,"https://a1.muscache.com/ac/users/2166277/profile_pic/1433375991/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70","https://a1.muscache.com/ac/users/2166277/profile_pic/1433375991/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=225:*&output-format=jpg&output-quality=70",1,t,t,HRT_005
239585,https://www.airbnb.com/users/show/239585,Ray & Eileen,9/19/2010,Seattle,Queen Anne,Washington,United States,t,"https://a2.muscache.com/ac/users/239585/profile_pic/1311271505/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70","https://a2.muscache.com/ac/users/239585/profile_pic/1311271505/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=225:*&output-format=jpg&output-quality=70",1,t,t,HRT_001
4606439,https://www.airbnb.com/users/show/4606439,Nadia,1/6/2013,Seattle,Queen Anne,Washington,United States,f,"https://a1.muscache.com/ac/users/4606439/profile_pic/1417733189/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70","https://a1.muscache.com/ac/users/4606439/profile_pic/1417733189/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=225:*&output-format=jpg&output-quality=70",1,t,t,HRT_001
19932967,https://www.airbnb.com/users/show/19932967,Pat & Roberta,8/13/2014,Seattle,,Washington,United States,t,"https://a1.muscache.com/ac/users/19932967/profile_pic/1414642653/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70","https://a1.muscache.com/ac/users/19932967/profile_pic/1414642653/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=225:*&output-format=jpg&output-quality=70",1,t,t,HRT_002
25899989,https://www.airbnb.com/users/show/25899989,Ellie,1/10/2015,Kirkland,Queen Anne,Washington,United States,f,"https://a2.muscache.com/ac/pictures/5eee2738-137b-47d6-a80b-9a201ffbfd5e.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70","https://a2.muscache.com/ac/pictures/5eee2738-137b-47d6-a80b-9a201ffbfd5e.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=225:*&output-format=jpg&output-quality=70",1,t,t,HRT_002
22372266,https://www.airbnb.com/users/show/22372266,Sarah,10/10/2014,Seattle,Queen Anne,Washington,United States,f,"https://a2.muscache.com/ac/users/22372266/profile_pic/1413836801/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70","https://a2.muscache.com/ac/users/22372266/profile_pic/1413836801/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=225:*&output-format=jpg&output-quality=70",1,t,t,HRT_002
2983711,https://www.airbnb.com/users/show/2983711,Paige,7/18/2012,Seattle,,Washington,United States,f,"https://a0.muscache.com/ac/users/2983711/profile_pic/1342660361/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70","https://a0.muscache.com/ac/users/2983711/profile_pic/1342660361/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=225:*&output-format=jpg&output-quality=70",1,t,f,HRT_001
9465817,https://www.airbnb.com/users/show/9465817,Libby,10/16/2013,Seattle,Queen Anne,Washington,United States,f,"https://a2.muscache.com/ac/users/9465817/profile_pic/1391222779/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70","https://a2.muscache.com/ac/users/9465817/profile_pic/1391222779/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=225:*&output-format=jpg&output-quality=70",1,t,t,HRT_002
25417834,https://www.airbnb.com/users/show/25417834,Markus And Melissa,12/31/2014,Seattle,Queen Anne,Washington,United States,t,"https://a1.muscache.com/ac/users/25417834/profile_pic/1420171865/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70","https://a1.muscache.com/ac/users/25417834/profile_pic/1420171865/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=225:*&output-format=jpg&output-quality=70",1,t,t,HRT_002
6170760,https://www.airbnb.com/users/show/6170760,Sam,4/30/2013,Seattle,Queen Anne,Washington,United States,f,"https://a2.muscache.com/ac/users/6170760/profile_pic/1367376499/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70","https://a2.muscache.com/ac/users/6170760/profile_pic/1367376499/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=225:*&output-format=jpg&output-quality=70",1,t,t,HRT_005
32713558,https://www.airbnb.com/users/show/32713558,Kary,5/5/2015,Seattle,Queen Anne,Washington,United States,f,"https://a2.muscache.com/ac/users/32713558/profile_pic/1431477705/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70","https://a2.muscache.com/ac/users/32713558/profile_pic/1431477705/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=225:*&output-format=jpg&output-quality=70",1,t,t,HRT_005
14100483,https://www.airbnb.com/users/show/14100483,Annie,4/9/2014,Quilcene,,Washington,United States,f,"https://a0.muscache.com/ac/users/14100483/profile_pic/1397369373/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70","https://a0.muscache.com/ac/users/14100483/profile_pic/1397369373/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=225:*&output-format=jpg&output-quality=70",1,t,t,HRT_001
21401856,https://www.airbnb.com/users/show/21401856,Nick,9/16/2014,Seattle,Queen Anne,Washington,United States,f,"https://a1.muscache.com/ac/users/21401856/profile_pic/1432007994/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70","https://a1.muscache.com/ac/users/21401856/profile_pic/1432007994/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=225:*&output-format=jpg&output-quality=70",1,t,f,HRT_002
46675077,https://www.airbnb.com/users/show/46675077,Susanna,10/16/2015,Seattle,Queen Anne,Washington,United States,f,"https://a2.muscache.com/ac/pictures/facd36b6-cf90-4eb9-aea0-7f388823f231.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70","https://a2.muscache.com/ac/pictures/facd36b6-cf90-4eb9-aea0-7f388823f231.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=225:*&output-format=jpg&output-quality=70",1,t,f,HRT_003
51860756,https://www.airbnb.com/users/show/51860756,Maggie & Alex,12/20/2015,Seattle,Queen Anne,Washington,United States,f,"https://a2.muscache.com/ac/pictures/11543d26-5b99-4fed-87fa-83c69f278b24.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70","https://a2.muscache.com/ac/pictures/11543d26-5b99-4fed-87fa-83c69f278b24.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=225:*&output-format=jpg&output-quality=70",1,t,f,HRT_005
33147763,https://www.airbnb.com/users/show/33147763,Tracy,5/11/2015,Seattle,Queen Anne,Washington,United States,f,"https://a1.muscache.com/ac/users/33147763/profile_pic/1431384384/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70","https://a1.muscache.com/ac/users/33147763/profile_pic/1431384384/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=225:*&output-format=jpg&output-quality=70",1,t,f,HRT_005
68155,https://www.airbnb.com/users/show/68155,Lori,1/6/2010,Seattle,Queen Anne,Washington,United States,f,"https://a2.muscache.com/ac/users/68155/profile_pic/1411529230/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=50:*&output-format=jpg&output-quality=70","https://a2.muscache.com/ac/users/68155/profile_pic/1411529230/original.jpg?interpolation=lanczos-none&crop=w:w;*,*&crop=h:h;*,*&resize=225:*&output-format=jpg&output-quality=70",1,t,t,HRT_001
