HostID,VerificationMediumID
4193,HV_016
4193,HV_008
4193,HV_015
4193,HV_006
4193,HV_001
6207,HV_016
6207,HV_008
6207,HV_009
6207,HV_015
6207,HV_006
6207,HV_001
8021,HV_016
8021,HV_017
8021,HV_008
8021,HV_015
8021,HV_006
8021,HV_001
8993,HV_008
8993,HV_015
8993,HV_006
8993,HV_001
11775,HV_016
11775,HV_008
11775,HV_015
11775,HV_006
11775,HV_001
14942,HV_016
14942,HV_008
14942,HV_015
14942,HV_006
14942,HV_001
19425,HV_015
19425,HV_006
19425,HV_001
20731,HV_016
20731,HV_007
20731,HV_015
20731,HV_006
20731,HV_001
30559,HV_016
30559,HV_007
30559,HV_015
30559,HV_006
30559,HV_001
30604,HV_008
30604,HV_015
30604,HV_006
30604,HV_001
30832,HV_008
30832,HV_015
30832,HV_006
30832,HV_001
31481,HV_008
31481,HV_015
31481,HV_006
31481,HV_001
31509,HV_016
31509,HV_007
31509,HV_009
31509,HV_015
31509,HV_006
31509,HV_001
33360,HV_015
33360,HV_006
33360,HV_001
34943,HV_006
34943,HV_002
35749,HV_016
35749,HV_008
35749,HV_015
35749,HV_006
35749,HV_001
39377,HV_016
39377,HV_015
39377,HV_006
39377,HV_001
44907,HV_016
44907,HV_008
44907,HV_015
44907,HV_006
44907,HV_001
46879,HV_016
46879,HV_008
46879,HV_009
46879,HV_015
46879,HV_006
46879,HV_001
50893,HV_016
50893,HV_008
50893,HV_009
50893,HV_015
50893,HV_006
50893,HV_001
53050,HV_016
53050,HV_007
53050,HV_015
53050,HV_006
53050,HV_001
58235,HV_008
58235,HV_015
58235,HV_006
58235,HV_001
62386,HV_016
62386,HV_008
62386,HV_015
62386,HV_006
62386,HV_001
64929,HV_008
64929,HV_015
64929,HV_006
64929,HV_001
64955,HV_008
64955,HV_015
64955,HV_006
64955,HV_001
66145,HV_011
66145,HV_016
66145,HV_017
66145,HV_007
66145,HV_009
66145,HV_015
66145,HV_006
66145,HV_001
68155,HV_016
68155,HV_007
68155,HV_015
68155,HV_006
68155,HV_001
68389,HV_016
68389,HV_008
68389,HV_015
68389,HV_006
68389,HV_001
68641,HV_017
68641,HV_007
68641,HV_015
68641,HV_006
68641,HV_001
73359,HV_017
73359,HV_008
73359,HV_015
73359,HV_006
73359,HV_001
74305,HV_016
74305,HV_008
74305,HV_009
74305,HV_015
74305,HV_006
74305,HV_001
79450,HV_016
79450,HV_008
79450,HV_009
79450,HV_015
79450,HV_006
79450,HV_001
83099,HV_016
83099,HV_007
83099,HV_015
83099,HV_006
83099,HV_001
86885,HV_016
86885,HV_007
86885,HV_015
86885,HV_006
86885,HV_001
87587,HV_016
87587,HV_008
87587,HV_015
87587,HV_006
87587,HV_001
90437,HV_016
90437,HV_008
90437,HV_015
90437,HV_006
90437,HV_001
91286,HV_016
91286,HV_015
91286,HV_006
91286,HV_001
95510,HV_016
95510,HV_015
95510,HV_006
95510,HV_001
102684,HV_016
102684,HV_015
102684,HV_006
102684,HV_001
103427,HV_016
103427,HV_007
103427,HV_015
103427,HV_006
103427,HV_001
106700,HV_015
106700,HV_006
106700,HV_001
106721,HV_007
106721,HV_015
106721,HV_006
106721,HV_001
106972,HV_009
106972,HV_015
106972,HV_006
106972,HV_001
107542,HV_016
107542,HV_017
107542,HV_007
107542,HV_009
107542,HV_015
107542,HV_006
107542,HV_001
107605,HV_016
107605,HV_015
107605,HV_006
107605,HV_001
110120,HV_016
110120,HV_015
110120,HV_006
110120,HV_001
110248,HV_016
110248,HV_008
110248,HV_015
110248,HV_006
110248,HV_001
110917,HV_016
110917,HV_008
110917,HV_015
110917,HV_006
110917,HV_001
112093,HV_016
112093,HV_015
112093,HV_006
112093,HV_001
119809,HV_016
119809,HV_008
119809,HV_015
119809,HV_001
129014,HV_016
129014,HV_008
129014,HV_015
129014,HV_006
129014,HV_001
149118,HV_016
149118,HV_017
149118,HV_007
149118,HV_009
149118,HV_015
149118,HV_006
149118,HV_001
157262,HV_016
157262,HV_015
157262,HV_006
157262,HV_001
160789,HV_016
160789,HV_002
164430,HV_016
164430,HV_008
164430,HV_015
164430,HV_006
164430,HV_001
165390,HV_016
165390,HV_007
165390,HV_008
165390,HV_009
165390,HV_015
165390,HV_006
165390,HV_001
167482,HV_016
167482,HV_007
167482,HV_009
167482,HV_015
167482,HV_006
167482,HV_001
168580,HV_008
