ReviewID,Date,ReviewerID,ListingID
5473484,7/1/2013,4142203,4291
5630770,7/8/2013,7306147,4291
5739075,7/14/2013,7078957,4291
6200737,8/3/2013,7229678,4291
6283627,8/6/2013,7443181,4291
6376888,8/10/2013,7722528,4291
6475856,8/13/2013,7921139,4291
6918731,8/30/2013,7857256,4291
6995737,9/2/2013,3168696,4291
7343991,9/16/2013,8502576,4291
14512840,6/21/2014,7280884,4291
16119733,7/22/2014,7630955,4291
16667350,7/31/2014,17076034,4291
17005389,8/5/2014,12133182,4291
17187882,8/8/2014,8605544,4291
17799458,8/17/2014,12936567,4291
18066365,8/21/2014,17924208,4291
18216962,8/23/2014,20239730,4291
18324458,8/25/2014,17264322,4291
18822336,9/1/2014,1343556,4291
19250516,9/8/2014,1421450,4291
19504878,9/13/2014,6257658,4291
19963405,9/21/2014,2516954,4291
20392431,9/28/2014,15145674,4291
20934199,10/7/2014,21977110,4291
23725780,12/8/2014,23629259,4291
32326554,5/17/2015,2084798,4291
34969502,6/14/2015,31548221,4291
42014445,8/10/2015,23991312,4291
42590186,8/14/2015,39859345,4291
43734499,8/21/2015,40799772,4291
44003598,8/23/2015,1205131,4291
46048339,9/7/2015,18217342,4291
48612555,9/27/2015,15034587,4291
51219780,10/18/2015,17652256,4291
30686,3/21/2010,60393,5682
40794,5/8/2010,105863,5682
42150,5/13/2010,121372,5682
47516,5/29/2010,128506,5682
49368,6/3/2010,89570,5682
51044,6/8/2010,37243,5682
53462,6/15/2010,136524,5682
56050,6/22/2010,57259,5682
58836,6/29/2010,113816,5682
60500,7/3/2010,156010,5682
64918,7/15/2010,145644,5682
71422,7/31/2010,144556,5682
75221,8/7/2010,162244,5682
78805,8/15/2010,173387,5682
84467,8/25/2010,173387,5682
86010,8/28/2010,181217,5682
87555,8/30/2010,212915,5682
88279,9/1/2010,181217,5682
91780,9/7/2010,151655,5682
94927,9/11/2010,209161,5682
101704,9/21/2010,129042,5682
107216,9/28/2010,205170,5682
110531,10/3/2010,212372,5682
120607,10/17/2010,222936,5682
130903,11/1/2010,27744,5682
140152,11/16/2010,267346,5682
143186,11/22/2010,111616,5682
145126,11/27/2010,272239,5682
156948,12/21/2010,13139,5682
158097,12/24/2010,311521,5682
158913,12/27/2010,201293,5682
162750,1/2/2011,271547,5682
177695,2/2/2011,360432,5682
178718,2/6/2011,211675,5682
182723,2/15/2011,352702,5682
185457,2/21/2011,352959,5682
191688,3/3/2011,357000,5682
216505,4/4/2011,368977,5682
219809,4/7/2011,430893,5682
220467,4/8/2011,430893,5682
231285,4/19/2011,337537,5682
236487,4/23/2011,236211,5682
248665,5/2/2011,336410,5682
251501,5/4/2011,418508,5682
262603,5/14/2011,285880,5682
267849,5/17/2011,203403,5682
284612,5/28/2011,457494,5682
290971,5/31/2011,579051,5682
296109,6/3/2011,622403,5682
310795,6/13/2011,411120,5682
316843,6/15/2011,677093,5682
322040,6/19/2011,428115,5682
326787,6/21/2011,623170,5682
360096,7/8/2011,565181,5682
372588,7/14/2011,718471,5682
380096,7/18/2011,39310,5682
387092,7/21/2011,479716,5682
391471,7/23/2011,802422,5682
405788,7/30/2011,512829,5682
410576,8/1/2011,634655,5682
435167,8/10/2011,868550,5682
443576,8/14/2011,480159,5682
449357,8/16/2011,258417,5682
457331,8/19/2011,694946,5682
474508,8/25/2011,903607,5682
493146,9/1/2011,796485,5682
541961,9/18/2011,923147,5682
555801,9/22/2011,443380,5682
564215,9/24/2011,678023,5682
607788,10/8/2011,759299,5682
614214,10/10/2011,1073215,5682
623503,10/12/2011,1186668,5682
641367,10/18/2011,263094,5682
668321,10/27/2011,415736,5682
678695,11/1/2011,787248,5682
706020,11/9/2011,1316569,5682
726915,11/17/2011,1385664,5682
753282,11/29/2011,267346,5682
769094,12/6/2011,1465067,5682
854420,1/10/2012,1351067,5682
874277,1/21/2012,1434983,5682
878351,1/23/2012,29529,5682
923748,2/15/2012,1662521,5682
952856,2/27/2012,462516,5682
976121,3/6/2012,1742889,5682
1018203,3/19/2012,787248,5682
1032613,3/22/2012,1821416,5682
1073331,4/2/2012,1551666,5682
1090148,4/6/2012,1892301,5682
1128045,4/14/2012,1924329,5682
1139666,4/16/2012,979478,5682
1175574,4/24/2012,1874909,5682
1196673,4/29/2012,1999118,5682
1240874,5/7/2012,2058899,5682
1253584,5/9/2012,728120,5682
1290469,5/16/2012,2148345,5682
1333755,5/23/2012,1620362,5682
1370535,5/29/2012,1895549,5682
1420399,6/5/2012,2096292,5682
1448063,6/10/2012,1998644,5682
1580037,6/28/2012,2197751,5682
1606507,7/1/2012,2028065,5682
1640144,7/6/2012,2050701,5682
1701569,7/14/2012,1610656,5682
1875330,8/3/2012,918298,5682
1930938,8/9/2012,1891639,5682
1951469,8/11/2012,3041036,5682
1979604,8/14/2012,1773325,5682
2082020,8/24/2012,2739965,5682
2123672,8/28/2012,2891056,5682
2212772,9/6/2012,1531766,5682
2272524,9/13/2012,937678,5682
2343102,9/19/2012,758224,5682
2380837,9/23/2012,3190380,5682
2436841,9/28/2012,840906,5682
2536238,10/8/2012,2959419,5682
2612384,10/15/2012,2904380,5682
2663391,10/20/2012,3607529,5682
2687008,10/22/2012,3763570,5682
2748355,10/29/2012,787248,5682
2950689,11/24/2012,3859095,5682
3094137,12/15/2012,932772,5682
3100208,12/16/2012,191444,5682
3288777,1/6/2013,4185598,5682
3320629,1/10/2013,746471,5682
3333118,1/12/2013,4391555,5682
3436128,1/29/2013,68674,5682
3461652,2/2/2013,3182457,5682
3477075,2/4/2013,4883276,5682
3501785,2/9/2013,4266512,5682
3521440,2/11/2013,4089605,5682
3534865,2/13/2013,4813836,5682
3608237,2/22/2013,4051573,5682
3697221,3/5/2013,889654,5682
3818850,3/18/2013,787248,5682
3877625,3/24/2013,149660,5682
4010059,4/2/2013,3900400,5682
4203319,4/18/2013,49422,5682
4266959,4/23/2013,5146987,5682
4393368,5/2/2013,5213678,5682
4450462,5/6/2013,5622435,5682
4572858,5/13/2013,5858395,5682
4620344,5/15/2013,6320383,5682
4664792,5/19/2013,4173301,5682
4900693,6/1/2013,5466773,5682
4963982,6/4/2013,5791396,5682
5059756,6/10/2013,5955060,5682
5110814,6/13/2013,4723047,5682
5204513,6/18/2013,3927590,5682
5361240,6/26/2013,1573611,5682
5455576,7/1/2013,5387715,5682
5525310,7/4/2013,6297950,5682
5654934,7/10/2013,2795028,5682
5709906,7/13/2013,862065,5682
5905410,7/22/2013,5954534,5682
6153452,8/1/2013,6949593,5682
6271306,8/6/2013,5358778,5682
6367080,8/10/2013,6901155,5682
6729227,8/23/2013,6642573,5682
6849329,8/27/2013,7292365,5682
7032268,9/4/2013,3737611,5682
7145586,9/8/2013,6508560,5682
7221643,9/11/2013,7905134,5682
7287621,9/14/2013,5408618,5682
7395192,9/18/2013,7936105,5682
7551019,9/24/2013,7558894,5682
7691812,9/30/2013,4606892,5682
7849214,10/6/2013,7871063,5682
7985485,10/11/2013,7864590,5682
8137750,10/17/2013,7550718,5682
8276802,10/23/2013,6429168,5682
8595770,11/7/2013,5202892,5682
8657207,11/11/2013,3780956,5682
8840656,11/20/2013,10000979,5682
8879389,11/23/2013,292519,5682
9121634,12/8/2013,8614940,5682
9199720,12/13/2013,1652911,5682
9272139,12/17/2013,10207229,5682
9341518,12/23/2013,3579049,5682
9452308,12/29/2013,10605172,5682
9521781,1/1/2014,10084862,5682
9851950,1/14/2014,10447564,5682
9953301,1/21/2014,8798199,5682
10066416,1/28/2014,4190551,5682
10106510,1/31/2014,637530,5682
10151347,2/3/2014,6156538,5682
10307772,2/12/2014,6929374,5682
10477415,2/21/2014,6398498,5682
10601778,2/27/2014,11187174,5682
10674263,3/3/2014,3631693,5682
10818244,3/9/2014,11888162,5682
10930677,3/13/2014,4743978,5682
11031846,3/17/2014,12299673,5682
11092068,3/20/2014,11876028,5682
11260171,3/27/2014,11450543,5682
11447519,4/3/2014,7022105,5682
11614511,4/9/2014,5593405,5682
11858693,4/17/2014,9131742,5682
12747056,5/10/2014,13416216,5682
12947779,5/15/2014,4983521,5682
13065883,5/19/2014,12170072,5682
13211935,5/22/2014,13527531,5682
13623461,6/1/2014,465488,5682
13877002,6/7/2014,13906198,5682
14225639,6/15/2014,2247388,5682
14775475,6/26/2014,14143033,5682
14976942,6/30/2014,7114571,5682
15133138,7/3/2014,13735520,5682
15497445,7/10/2014,16400436,5682
15750027,7/15/2014,5677470,5682
16407994,7/27/2014,6359974,5682
16656701,7/31/2014,15365633,5682
16979408,8/5/2014,15651137,5682
17156298,8/8/2014,15745635,5682
17344057,8/11/2014,8025339,5682
17744885,8/17/2014,4588446,5682
18188935,8/23/2014,10799059,5682
18467082,8/27/2014,4636507,5682
18648565,8/30/2014,3820070,5682
18979904,9/4/2014,522558,5682
19120966,9/7/2014,7139323,5682
19514032,9/14/2014,103194,5682
19876475,9/20/2014,18701853,5682
20100602,9/23/2014,20115482,5682
20493964,9/30/2014,1233862,5682
20986034,10/9/2014,11611535,5682
21379916,10/16/2014,10911129,5682
21744983,10/23/2014,5899080,5682
21944015,10/27/2014,7877730,5682
22299550,11/3/2014,3702895,5682
22510132,11/8/2014,1008024,5682
22945116,11/18/2014,18400833,5682
23031674,11/21/2014,205170,5682
23763517,12/9/2014,23946129,5682
24000740,12/16/2014,23866305,5682
24073074,12/19/2014,22043191,5682
24634684,1/1/2015,895958,5682
24960909,1/4/2015,23074619,5682
25881699,1/28/2015,25765602,5682
26125993,2/4/2015,378766,5682
26303828,2/9/2015,25481116,5682
26445238,2/13/2015,12267007,5682
27140701,2/26/2015,27608127,5682
27425470,3/4/2015,24714435,5682
27601877,3/8/2015,4114892,5682
27767464,3/11/2015,27585335,5682
27915218,3/15/2015,17312431,5682
28177652,3/19/2015,25767653,5682
28380095,3/23/2015,22173683,5682
28575096,3/26/2015,29005625,5682
29257565,4/6/2015,25857523,5682
29914149,4/14/2015,27552514,5682
30166785,4/18/2015,27173837,5682
30709763,4/26/2015,30725208,5682
30992215,4/30/2015,25635036,5682
31550876,5/6/2015,9293062,5682
31938543,5/12/2015,22592093,5682
32250419,5/16/2015,12371541,5682
32767081,5/21/2015,10428761,5682
33571237,5/30/2015,28573097,5682
34619397,6/10/2015,1330927,5682
34946750,6/14/2015,30178854,5682
