ListingID,host_id,host_total_listings_count,priceUSD,weekly_priceUSD,monthly_priceUSD,security_depositUSD,cleaning_feeUSD,guests_included,extra_peopleUSD,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,ScrapedID,minimum_nights,maximum_nights,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,require_guest_profile_picture,require_guest_phone_verification,cancellation_ID
7369,19425,1,85,,,,,1,0,40,6/7/2009,3/4/2012,94,10,10,10,10,10,9,0.5,2.02E+13,1,1125,today,t,3,24,53,53,f,f,CP_003
6606,14942,3,90,670,,200,40,2,10,52,7/17/2009,12/28/2015,93,9,9,10,9,10,9,0.66,2.02E+13,2,1125,6 weeks ago,t,30,60,90,365,f,f,CP_002
9460,30832,2,99,,,,,1,15,240,8/31/2009,12/30/2015,98,10,10,10,10,10,10,3.11,2.02E+13,3,29,today,t,20,44,53,57,f,f,CP_001
10385,35749,6,60,330,1350,,30,1,0,74,10/2/2009,10/9/2015,94,10,10,9,10,9,10,0.97,2.02E+13,2,60,2 months ago,t,30,60,90,365,f,f,CP_001
11012,14942,3,310,2100,,350,195,4,15,47,1/31/2010,11/29/2015,95,10,9,9,9,10,9,0.65,2.02E+13,3,90,3 months ago,t,30,60,90,365,f,f,CP_002
11411,35749,6,60,330,1320,,20,1,0,47,2/13/2010,8/17/2015,93,10,10,10,10,9,9,0.66,2.02E+13,2,60,2 months ago,t,30,60,90,365,f,f,CP_001
5682,8993,1,48,375,1250,,25,1,5,297,3/21/2010,12/14/2015,96,10,10,10,10,9,10,4.21,2.02E+13,3,28,2 weeks ago,t,12,33,46,309,f,t,CP_002
19611,74305,34,107,,,,96,1,0,26,3/23/2010,11/12/2015,87,9,9,10,9,9,8,0.37,2.02E+13,2,365,today,t,22,46,76,151,t,t,CP_002
19623,74305,34,186,,,,107,1,0,38,3/23/2010,10/25/2015,89,9,9,9,9,9,8,0.54,2.02E+13,2,1825,today,t,25,53,83,172,t,t,CP_002
25002,102684,1,75,525,1800,,15,2,15,404,4/23/2010,12/23/2015,98,10,10,10,10,10,10,5.82,2.02E+13,1,365,1 week ago,t,9,29,45,308,f,f,CP_003
17951,33360,6,95,630,2500,100,,2,0,21,6/10/2010,12/31/2015,94,10,10,10,10,10,10,0.31,2.02E+13,2,180,today,t,30,60,68,307,f,f,CP_002
10695,35749,6,109,605,1980,,40,1,0,12,6/13/2010,9/6/2015,95,10,10,10,10,9,10,0.18,2.02E+13,2,60,2 months ago,t,30,60,90,365,f,f,CP_001
20868,35749,6,137,,,,40,6,0,91,6/18/2010,11/29/2015,94,10,10,10,10,9,9,1.35,2.02E+13,2,60,2 months ago,t,30,53,83,358,f,f,CP_001
30712,107605,1,75,475,,,,1,0,64,6/22/2010,11/9/2015,81,8,7,9,9,9,8,0.95,2.02E+13,3,730,5 weeks ago,t,23,53,83,358,f,f,CP_002
20927,79450,2,89,549,,,10,2,0,244,7/4/2010,12/26/2015,97,10,9,10,10,10,10,3.64,2.02E+13,2,14,today,t,10,40,70,341,f,f,CP_001
23430,74305,34,107,,,,96,1,0,22,7/8/2010,10/17/2015,96,9,10,10,10,9,9,0.33,2.02E+13,2,365,today,t,20,44,74,158,t,t,CP_002
9419,30559,5,90,580,1500,100,,1,10,79,7/30/2010,12/7/2015,91,9,9,10,10,9,9,1.19,2.02E+13,2,30,3 weeks ago,t,30,60,90,365,t,t,CP_002
23919,95510,1,165,990,3900,200,75,3,30,6,8/2/2010,8/31/2015,97,10,10,10,9,10,9,0.09,2.02E+13,3,90,today,t,30,55,85,317,f,f,CP_002
14386,39377,3,40,225,650,,,1,7,30,8/9/2010,11/25/2015,96,10,9,10,10,10,10,0.46,2.02E+13,1,730,4 weeks ago,t,8,11,41,316,f,f,CP_002
43373,189356,1,59,395,1389,,15,1,10,182,8/13/2010,1/1/2016,93,9,9,10,10,10,9,2.77,2.02E+13,2,730,today,t,17,43,63,338,f,f,CP_001
41401,180441,1,89,600,1800,350,,2,15,26,8/26/2010,7/26/2015,96,10,10,10,10,9,9,0.4,2.02E+13,10,365,2 weeks ago,t,2,32,62,337,t,t,CP_002
46022,205412,10,75,480,,100,150,3,18,5,9/1/2010,4/2/2012,99,9,10,10,10,10,10,0.08,2.02E+13,1,1125,7 weeks ago,t,30,60,90,363,f,f,CP_002
19619,74305,34,145,,,,96,1,0,17,9/4/2010,5/2/2015,98,9,10,9,10,10,9,0.26,2.02E+13,2,365,today,t,16,39,58,137,t,t,CP_002
47196,212740,1,65,,1695,,15,1,19,353,9/8/2010,12/14/2015,93,10,10,10,9,9,9,5.44,2.02E+13,1,365,3 weeks ago,t,13,43,73,348,f,f,CP_001
47491,215230,4,60,350,875,95,35,1,15,37,9/13/2010,7/27/2015,94,9,9,10,10,9,9,0.57,2.02E+13,3,90,4 days ago,t,17,47,77,166,f,f,CP_001
26116,110248,1,199,,,500,100,2,20,110,9/21/2010,12/26/2015,97,10,10,10,10,10,9,1.71,2.02E+13,2,60,today,t,30,60,90,365,f,t,CP_002
52525,215230,4,60,350,895,95,,1,15,26,9/26/2010,11/23/2015,92,9,9,10,10,10,10,0.4,2.02E+13,3,365,5 months ago,t,30,60,90,365,f,f,CP_001
53867,187753,1,86,,,,20,2,20,287,10/18/2010,11/28/2015,96,10,10,10,10,9,10,4.52,2.02E+13,2,14,today,t,20,20,20,20,f,f,CP_001
51826,238982,7,97,647,3400,250,40,1,0,59,10/18/2010,9/1/2015,99,10,9,10,10,10,10,0.93,2.02E+13,1,90,4 months ago,t,30,60,90,365,f,t,CP_001
53803,238982,7,250,975,3500,300,250,4,14,41,10/22/2010,9/16/2015,96,10,9,10,10,10,10,0.65,2.02E+13,7,120,6 weeks ago,t,0,3,33,308,f,t,CP_001
24212,74305,34,175,,,,107,6,0,29,11/2/2010,12/8/2015,91,9,10,10,10,9,9,0.46,2.02E+13,2,365,today,t,20,50,66,144,t,t,CP_002
48848,212404,1,125,,2200,500,75,1,0,22,11/5/2010,6/30/2015,99,10,10,10,10,10,10,0.35,2.02E+13,2,365,2 weeks ago,t,0,22,38,172,f,f,CP_002
38545,165390,5,275,,,200,145,7,15,67,11/18/2010,12/28/2015,96,10,9,10,10,10,9,1.07,2.02E+13,1,365,yesterday,t,22,52,82,357,f,f,CP_002
59838,74305,34,147,,,,107,1,0,70,12/15/2010,11/8/2015,88,9,10,10,10,9,9,1.14,2.02E+13,2,365,today,t,18,41,65,154,t,t,CP_002
63308,308927,2,89,548,2194,,,1,0,320,12/16/2010,12/7/2015,98,10,10,10,10,10,10,5.2,2.02E+13,2,30,today,t,10,30,32,274,f,t,CP_001
59827,74305,34,135,,,,96,1,0,13,12/24/2010,12/20/2015,87,9,9,9,9,9,8,0.21,2.02E+13,2,365,today,t,24,54,84,204,t,t,CP_002
66540,215230,4,65,325,950,,25,1,15,14,1/18/2011,2/12/2015,95,9,9,10,10,9,10,0.23,2.02E+13,3,90,5 months ago,t,30,60,90,365,f,f,CP_001
66611,215230,4,65,325,875,,35,1,12,20,1/27/2011,5/19/2015,88,9,8,10,9,9,9,0.33,2.02E+13,3,90,3 months ago,t,24,54,84,359,f,f,CP_001
67270,331573,1,65,,,,,2,15,148,3/9/2011,10/9/2015,96,10,10,10,10,10,10,2.52,2.02E+13,2,14,4 weeks ago,t,28,58,88,363,f,f,CP_001
72743,242188,1,55,420,1400,,,1,5,95,3/28/2011,10/30/2015,97,10,10,10,10,9,10,1.63,2.02E+13,1,365,6 weeks ago,t,29,59,89,364,f,t,CP_001
84030,292232,1,110,665,,100,75,2,25,60,4/4/2011,8/24/2015,88,9,9,10,9,10,9,1.04,2.02E+13,3,7,3 months ago,t,30,60,90,365,f,f,CP_002
23356,91286,2,215,1250,3800,200,,6,20,6,4/20/2011,6/21/2015,83,8,9,10,9,7,8,0.1,2.02E+13,3,730,today,t,20,41,64,327,f,f,CP_002
63733,311363,1,89,,,,,2,0,125,4/23/2011,12/30/2015,97,10,10,10,10,10,10,2.18,2.02E+13,2,14,3 days ago,t,28,45,75,164,f,t,CP_001
80188,409899,1,114,600,2298,,60,1,25,133,4/29/2011,12/8/2015,97,10,10,10,10,9,10,2.33,2.02E+13,1,365,2 weeks ago,t,30,60,90,365,f,t,CP_001
86185,192355,2,79,500,1500,,,2,10,36,5/9/2011,10/19/2015,93,10,9,10,10,10,10,0.63,2.02E+13,2,30,3 months ago,t,30,60,90,365,f,f,CP_001
92835,391714,2,99,,2700,,30,2,20,319,5/25/2011,12/19/2015,94,10,9,10,10,9,9,5.68,2.02E+13,1,730,yesterday,t,23,53,83,351,f,f,CP_002
74328,68641,1,92,600,1800,250,75,3,0,53,5/31/2011,9/30/2015,93,9,10,9,10,9,9,0.95,2.02E+13,2,365,4 months ago,t,30,60,90,365,f,f,CP_002
48319,220013,1,220,1500,5000,,40,2,25,21,6/7/2011,8/6/2012,96,10,9,9,9,9,9,0.38,2.02E+13,3,31,8 months ago,t,0,3,33,122,t,t,CP_002
119103,601600,2,79,,,250,,2,10,210,6/14/2011,12/21/2015,98,10,10,10,10,10,10,3.78,2.02E+13,3,7,today,t,25,50,80,355,f,f,CP_001
9596,14942,3,120,725,,200,85,2,15,32,6/15/2011,9/26/2015,88,9,9,9,9,10,9,0.58,2.02E+13,3,21,2 weeks ago,t,28,58,88,363,f,f,CP_002
139463,680066,1,95,,,300,40,1,0,91,6/17/2011,12/18/2015,95,10,10,10,10,10,10,1.64,2.02E+13,2,365,a week ago,t,0,3,25,298,f,f,CP_002
108765,541908,1,122,738,,,,1,0,35,6/19/2011,10/18/2015,99,10,10,10,10,10,10,0.63,2.02E+13,2,30,2 weeks ago,t,30,60,90,350,f,f,CP_002
132120,378445,1,110,600,2000,,40,1,0,35,6/20/2011,11/28/2015,94,10,9,10,10,10,10,0.63,2.02E+13,2,30,3 months ago,t,30,60,90,365,f,f,CP_001
117862,595263,1,115,800,2500,500,50,1,0,19,6/20/2011,6/14/2015,98,10,9,10,10,10,9,0.34,2.02E+13,2,365,4 weeks ago,t,0,0,30,305,f,f,CP_002
140331,683617,1,88,480,1800,,30,3,15,93,6/21/2011,6/3/2015,96,10,9,10,10,9,10,1.68,2.02E+13,1,730,6 weeks ago,t,30,60,90,361,f,t,CP_001
116221,587302,1,140,895,2450,400,40,1,10,25,6/21/2011,1/1/2016,97,10,10,9,9,10,9,0.45,2.02E+13,3,330,2 weeks ago,t,0,0,0,248,t,t,CP_001
143580,594315,1,75,,,100,,1,0,238,6/23/2011,10/6/2015,94,10,9,10,10,9,9,4.31,2.02E+13,2,21,2 months ago,t,21,51,81,356,f,f,CP_001
107962,112093,1,100,,,,,1,0,159,6/26/2011,10/28/2015,97,10,10,10,10,10,10,2.88,2.02E+13,2,29,3 weeks ago,t,0,0,0,37,t,t,CP_003
143704,696788,1,82,575,2000,,40,2,30,181,6/28/2011,12/28/2015,95,9,10,10,10,9,9,3.29,2.02E+13,3,60,today,t,23,53,72,347,t,t,CP_001
50233,230140,1,165,1550,2800,350,100,4,60,20,6/28/2011,9/25/2015,100,10,10,10,10,10,10,0.36,2.02E+13,3,180,today,t,25,25,25,237,f,f,CP_002
153967,205412,10,117,750,2700,100,150,7,9,54,7/5/2011,12/1/2015,89,9,9,10,10,9,9,0.98,2.02E+13,1,1125,4 days ago,t,30,60,90,361,f,f,CP_002
15108,39377,3,60,375,1000,,,1,15,42,7/6/2011,11/23/2015,86,9,8,10,10,9,9,0.77,2.02E+13,1,730,6 weeks ago,t,0,1,31,306,f,f,CP_001
160222,767899,1,110,692,2550,800,100,2,50,53,7/20/2011,10/10/2015,93,9,9,10,10,10,9,0.98,2.02E+13,2,1125,2 weeks ago,t,23,45,55,270,f,f,CP_001
175576,239585,1,95,595,,,15,2,15,181,7/21/2011,11/25/2015,97,10,10,10,10,10,10,3.33,2.02E+13,3,7,a week ago,t,0,0,0,153,t,f,CP_001
170273,804996,3,225,,,100,25,2,0,120,7/25/2011,10/18/2015,99,10,10,10,10,10,10,2.22,2.02E+13,2,60,6 months ago,t,30,60,90,365,f,t,CP_002
158953,205412,10,75,480,,100,150,2,18,2,7/28/2011,9/17/2011,96,9,10,10,10,9,9,0.04,2.02E+13,1,1125,7 weeks ago,t,30,60,90,363,f,f,CP_002
158345,759949,1,55,360,1440,,,2,10,277,7/30/2011,12/30/2015,97,10,10,10,10,10,10,5.13,2.02E+13,2,180,2 weeks ago,t,28,55,85,360,t,t,CP_001
180939,867039,2,95,600,2600,200,75,2,50,93,7/31/2011,10/30/2015,94,10,10,10,10,9,10,1.72,2.02E+13,2,90,4 days ago,t,30,60,90,365,f,f,CP_002
173896,830508,1,70,700,3000,,,1,0,102,8/1/2011,12/17/2015,95,9,10,10,10,10,9,1.89,2.02E+13,2,14,5 weeks ago,t,28,56,84,356,f,f,CP_001
113951,164430,3,250,1575,3900,,100,1,0,10,8/3/2011,10/5/2015,100,10,10,10,10,10,10,0.19,2.02E+13,3,730,7 weeks ago,t,2,32,62,337,f,f,CP_002
182716,181621,1,70,450,,300,,1,10,63,8/5/2011,10/26/2015,99,10,10,10,10,10,10,1.17,2.02E+13,2,30,a week ago,t,0,9,23,63,t,t,CP_003
132160,558743,2,145,,,400,,2,20,135,8/5/2011,12/21/2015,97,10,10,10,10,10,10,2.51,2.02E+13,3,30,3 weeks ago,t,30,60,90,179,f,t,CP_002
193836,583579,1,80,575,1800,200,50,2,10,92,8/14/2011,12/29/2015,93,9,9,10,10,9,9,1.72,2.02E+13,1,365,today,t,0,0,1,275,f,t,CP_001
117165,559827,2,100,650,1985,200,40,1,20,102,8/16/2011,12/28/2015,98,10,10,10,10,10,10,1.91,2.02E+13,2,90,3 weeks ago,t,26,56,78,353,t,t,CP_002
174636,834328,1,88,565,1848,100,10,1,50,32,8/19/2011,8/26/2015,95,9,9,10,10,9,9,0.6,2.02E+13,1,365,today,t,29,59,89,364,f,f,CP_001
