AmenityID,Amenity
AM_001,24-Hour Check-in
AM_002,Air Conditioning
AM_003,Breakfast
AM_004,Buzzer/Wireless Intercom
AM_005,Cable TV
AM_006,Carbon Monoxide Detector
AM_007,Cat(s)
AM_008,Dog(s)
AM_009,Doorman
AM_010,Dryer
AM_011,Elevator in Building
AM_012,Essentials
AM_013,Family/Kid Friendly
AM_014,Fire Extinguisher
AM_015,First Aid Kit
AM_016,Free Parking on Premises
AM_017,Gym
AM_018,Hair Dryer
AM_019,Hangers
AM_020,Heating
AM_021,Hot Tub
AM_022,Indoor Fireplace
AM_023,Internet
AM_024,Iron
AM_025,Kitchen
AM_026,Laptop Friendly Workspace
AM_027,Lock on Bedroom Door
AM_028,Other pet(s)
AM_029,Pets Allowed
AM_030,Pets live on this property
AM_031,Pool
AM_032,Safety Card
AM_033,Shampoo
AM_034,Smoke Detector
AM_035,Smoking Allowed
AM_036,Suitable for Events
AM_037,Washer
AM_038,Washer / Dryer
AM_039,Wheelchair Accessible
AM_040,Wireless Internet
